raceId,max,UQ,median,mean,LQ,min
1041,99320.0,94916,93224,96281.74041297936,91980,87576.0
1042,86713.0,83713,82596,83516.84860248448,81713,78713.0
1043,84637.5,81255,79896,84147.57180851063,79000,75617.5
1044,126866.0,112178,104459,108180.39219330855,102386,87698.0
1045,108156.0,100305,96819,128509.26279527559,95071,87220.0
1046,62808.5,59951,58727,63150.25930764207,58046,55188.5
1047,109390.0,105325,103639,107039.39693192713,102615,98550.0
1053,121551.0,96642,88275,117208.33629893238,80036,55127.0
1074,106930.0,101881,99836,103134.85930543188,98515,93466.0
1052,101693.0,98105,96788,100322.85282651072,95713,92125.0
1051,95999.0,91223,89433,90765.27158273381,88039,83263.0
1054,87838.5,84687,83432,87315.56591639871,82586,79434.5
1055,89237.5,85588,84381,86325.77929373996,83155,79505.5
1056,80856.5,77915,76736,77457.93159379407,75954,73012.5
1057,119581.0,111823,107954,151572.06376195536,106651,98893.0
1058,74173.0,71581,70553,71218.45216049382,69853,67261.0
1059,104202.5,101078,99999,100615.9590865842,98995,95870.5
1060,73892.5,71098,69996,72039.09131736527,69235,66440.5
1061,97589.0,94577,93340,138947.17750258,92569,89557.0
1062,87922.5,84717,83420,109608.4240570846,82580,79374.5
1063,265573.0,236578,227661,225823.95,217248,188253.0
1064,80996.5,77698,76491,77115.78912564291,75499,72200.5
1065,90594.0,88104,87158,92951.86951631046,86444,83954.0
1066,107462.0,103463,101715,104673.47804878048,100797,96798.0
1067,99331.5,96282,95123,95841.55710549258,94249,91199.5
1069,108215.5,104110,102544,103737.56417624521,101373,97267.5
1070,86784.0,83529,82243,85128.55679110406,81359,78104.0
1071,81553.5,77355,75625,79611.81911764706,74556,70357.5
1072,145684.0,114364,95604,154924.338882283,93484,62164.0
1073,94731.0,91260,90024,93919.29258517035,88946,85475.0
1075,103426.0,98059,95855,102404.99632352941,94481,89114.0
1076,92331.5,87185,85021,92135.94049904031,83754,78607.5
1077,108388.5,92355,82399,89187.02033598586,81666,65632.5
1078,100268.0,96593,95109,99879.37061611374,94143,90468.0
1079,93513.0,90237,89122,90071.61056910569,88053,84777.0
1080,129196.0,98944,85143,110229.84353741497,78776,48524.0
1081,114948.5,111215,110109,112709.17547806524,108726,104992.5
1082,82714.5,79980,79088,82985.41204437401,78157,75422.5
1083,98799.0,95571,94503,164764.65721331688,93419,90191.0
1084,74564.5,72106,71332,72462.10355253212,70467,68008.5
1085,103138.0,100786,99900,102989.11437565583,99218,96866.0
1086,88886.5,85948,85013,86660.92764109986,83989,81050.5
1087,120281.5,116218,114689,118966.6746835443,113509,109445.5
1088,81058.0,78253,77178,80961.39396117901,76383,73578.0
1089,90773.5,88363,87411,91257.95872033024,86756,84345.5
1091,147915.0,128661,121685,126268.82678002125,115825,96571.0
1092,131852.5,117862,109763,134424.15476190476,108535,94544.5
1093,108548.0,104927,103649,110456.72222222222,102513,98892.0
1094,87506.5,85009,84279,84882.72786647316,83344,80846.5
1095,86991.5,80519,77163,83602.28582802547,76204,69731.5
1096,95300.5,92470,91374,92204.73052820054,90583,87752.5
