raceId,max,UQ,median,LQ,min
1053,1772740,96642,88275,80036,76702
1074,163846,101881,99832,98515,94570
1052,158001,98105,96787,95713,92090
1051,151932,91223,89433,88039,83196
1054,142886,84687,83432,82586,79849
1055,160997,85588,84381,83155,78149
1056,98076,77915,76732,75954,72909
1057,2210714,111823,107954,106651,104481
1058,123661,71581,70553,69853,67058
1059,123242,101078,99998,98995,96404
1060,120589,71098,69996,69235,66200
1061,2253574,94577,93340,92569,88617
1062,1606873,84717,83420,82580,78394
1063,245276,236578,227661,217248,207071
1064,124387,77698,76491,75499,71097
1065,164572,88104,87158,86444,84812
1066,199316,103463,101715,100797,97423
1067,160070,96282,95122,94249,90432
1069,149128,104110,102544,101373,98485
1070,140003,83529,82243,81359,77774
1071,149633,77355,75625,74556,71010
1072,1307962,114364,95604,93484,90734
1073,166262,91260,90006,88946,86103
1075,184684,98059,95855,94481,91634
1076,160036,87185,85020,83754,80260
1077,150834,92355,82399,81666,78446
1078,177593,96593,95106,94143,91361
1079,135888,90237,89122,88053,84108
1080,1297841,98944,85143,78776,74693
1081,164653,111215,110109,108726,106046
1082,140984,79980,79088,78157,75749
1083,3204155,95571,94488,93419,90510
1084,113302,72106,71329,70467,67275
1085,164819,100786,99900,99218,95781
1086,123576,85948,85013,83989,81386
1087,187807,116218,114685,113509,109354
1088,208313,78253,77177,76383,73652
1089,154105,88363,87411,86756,84030
1091,194303,128661,121685,115825,106458
1092,553758,117862,109763,108535,104411
1093,184224,104927,103645,102513,98788
1094,109022,85009,84277,83344,80153
1095,127132,80519,77163,76204,73785
1096,127585,92470,91374,90583,88391
